Paper,Hardware,Software and Tracking,Communication Latency,Field of View and Visual Limitations,Environmental Constraints,Task Precision Requirements,Error Sources,Resilience Strategies,Notes
Aschenbrenner et al. (2018),"Microsoft HoloLens, desktop interface","Custom HoloLens app for co-located users, desktop app for remote expert with synchronized views, employing visual tracking algorithms.","Low latency required for synchronized collaboration, especially in manual tasks requiring precision.","Limited field of view on HoloLens may restrict how much of the workspace and 3D space is visible, potentially requiring additional navigation aids.",Lighting and space calibration critical for accurate object alignment; spatial accuracy can be affected in dynamic environments.,"High precision necessary for spatial alignment, particularly in tasks like manual assembly where exact positioning is vital.","Common issues include object misalignment, lag in real-time updates, and difficulties in precisely locating objects in 3D space.",Miniaturized views (“Godmode”) and enhanced spatial visualization for remote users; adaptable viewpoints and highlighting options to reduce alignment errors.,"For manual assembly projects, prioritize hardware with broader fields of view or augment AR interfaces with zoom and panning options to counter field of view limitations. Design for precise spatial calibration to mitigate alignment issues."
Aschenbrenner et al. (2019),"Microsoft HoloLens, tablets, projection-based spatial AR","Metaio SDK (tablet), Android app with visual tracking for annotations",Low latency required for visual alignment in collaborative mode,"Limited FOV on HoloLens impacted usability, projection-based AR had superior spatial coverage",Ambient lighting and calibration for projection setup critical for accuracy,High; accurate spatial alignment and correct cable connections required,Errors in collaborative tasks minimized with visual context; highest errors with HMD due to FOV limitations,Projection-based AR minimized latency issues and improved grounding in collaborative scenarios,Projection-based AR provided superior contextual alignment for remote assistance in high-precision tasks
Betti et al. (2018),"Microsoft HoloLens, ABB 1200 robotic arm","Grasshopper and Python pipeline, multimodal input processing for CAD/robotic control",Low latency critical for synchronized CAD and robotic fabrication,"Some sensor inaccuracies, particularly for controls at the upper field in bright lighting",High lighting variability affected sensor tracking accuracy,High; precise alignment needed for CAD-CAM integration and AR-guided assembly,Sensor misinterpretation due to sun glare; upper visual field controls missed by sensors,Real-time feedback on interaction; sensor adjustments attempted but some limitations remained,"Collaborative workflow effective, but AR controls required fine-tuning for seamless interaction under various lighting conditions"
Buyruk and Çağdaş (2022),"HoloLens 2, Kuka KR210 robotic arm","Grasshopper3D, REST API with Unity Game Engine, Inverse Kinematics for robot motion",Low latency; near-instant updates via REST API between MR and robotic systems,"MR visuals enabled real-time overlay, though some field limitations inherent to HoloLens",Requires controlled lighting and spatial calibration for accurate holographic overlays,High; precise real-time modifications and collision detection in fabrication process,Occasional misalignments in robotic execution; handled through real-time feedback and collision detection,"Digital twin and MR display provided instant feedback, minimizing disruptions in fabrication","Highly effective for real-time design adjustments, with seamless handoff between design and fabrication stages"
Chan et al. (2022),"HoloLens, KUKA IIWA LBR14 robotic arm","ROS Bridge, MoveIt library for robot control; REST API for AR-robot communication",Low latency enabled synchronized user-robot interaction,Some issues with HoloLens drift affecting marker alignment and AR accuracy,"Speech recognition challenges in noisy settings, marker misalignment due to tracking drift",High; precise robot path execution and real-time feedback critical,"AR tracking drift, marker misalignment, occasional speech recognition failures",Positional recalibration via gaze; manual realignment if necessary,System achieved high task efficiency despite some technical limitations in tracking and speech
Cogurcu et al. (2023),"Microsoft HoloLens 2, UR10 robot arm with dynamic safety zones",Dynamic safety zone rendering using Unity3D and ROS,Latency due to Wi-Fi; additional safety distance layers added for reliability,AR marker alignment drift; real-time calibration needed,Latency due to network and tracking discrepancies in HoloLens,Moderate; safe distance visualisation accuracy was critical,"Misalignments in safety zones due to AR sensor drift, latency",Recalibration prompts; digital twin synchronization for alignment,Additional safety margins and real-time visual adjustments increased safety for real-robot scenarios
De Franco et al. (2019),"Microsoft HoloLens, ROS-based mobile robotic arm (Panda)","Double-channel UDP, Unity3D, ROS, Microsoft Mixed Reality Toolkit",Low latency required for synchronized task updates via UDP,Voice commands affected by noise; hologram alignment requires calibration,Challenges with speech in noisy environments; visual calibration for accurate overlay,Moderate to high; essential for polishing and precise assembly,"Voice misrecognition in noise, occasional misalignment of holograms",Gesture-based commands as backup for voice; calibration prompts,Real-time updates and audio-visual cues improved situational awareness despite voice challenges
Fang et al. (2022),"Microsoft HoloLens 2, ROS-based mobile robot system","Visual-inertial SLAM, ROS-based localization with incremental 3D modeling",Managed through visual-inertial SLAM; stable localization across shop floor,High accuracy 3D model alignment required for synchronization,Mitigates latency and tracking drift; works in dynamic and large industrial spaces,High; supports synchronization of visual guidance across multiple users,"Drift in visual tracking, corrected by re-localization and covisibility filtering",Incremental triangulation and motion tracking reduce drift and maintain stability,System provides reliable AR guidance despite challenging industrial conditions
Gemito et al. (2023),Microsoft HoloLens 2; FIWARE and ROS2 integration,"Unity MRTK, Holographic Remoting, FIWARE, ROS2 for robot tasks",Holographic Remoting provided real-time visualization; low latency for task updates,Requires precise calibration; variable lighting can impact visibility,Calibration needed; stability in visual rendering under varied lighting,High precision for safe navigation and accurate task execution,Calibration issues and potential misalignment in real-time holograms,Holographic safety barrier reduces risk; GUI tracking helps prevent errors,Real-time feedback and holographic safety features improved task accuracy and operator safety
Goepel and Crolla (2020),"Microsoft HoloLens, smartphones with synchronized overlays","Anemone plugin in Rhino for flow visualization, marker-based alignment",Managed through unified overlays on multiple devices,Maintained flexible calibration to accommodate bamboo’s natural irregularities,Iterative calibration required; natural variability of bamboo impacted alignment precision,Moderate; alignment was approximate due to material flexibility,Material variations required manual adjustments; AR markers sometimes misaligned,Adaptable guidance allowed artistic judgment; procedural modeling enabled iterative adjustments,"Dynamic AR overlays supported both precision and adaptability for creative, manual assembly"
Gursch et al. (2018),AR and VR devices (specific models not mentioned),"EIS for real-time updates, eye-tracking for user attention models",Real-time data processing ensures timely scheduling updates,Not explicitly addressed; focus on attention-driven info display,Efficient scheduling adaptation based on real-time task prioritization,Moderate; emphasis on logistics coordination rather than task precision,Potential for info overload; managed through filtered information displays,Adaptive filtering based on eye-tracking to prevent cognitive overload,"Predictive scheduling models enabled flexible, real-time task management"
Huy et al. (2017),"Epson Moverio BT-200 AR glasses, MAVEN robot with laser-writer SAR","Marker-based tracking, laser-projected floor cues for spatial augmented reality",Real-time updates to synchronize robot movement and SAR visual cues,Laser-writer improves outdoor visibility; AR glasses enhance task focus,Laser visibility in bright environments; AR reduces need for physical screens,Moderate; accurate projection alignment and real-time operator feedback critical,"Potential AR marker misalignment, mitigated through dual communication channels",Gestures and haptic inputs allow real-time adjustments; SAR increases environmental awareness,"Framework addresses visibility and security issues, with effective task control for complex HRI"
