Paper,Application Type,Justification,Collaboration Type,Interaction Mechanism,Application Context,Task Complexity,Evaluation Metrics,Use Case Effectiveness,Notes
Aschenbrenner et al. (2018),Knowledge Transfer & Expert Support,"Knowledge Transfer & Expert Support: Remote expert guidance scenario (Co-located multi-user with remote expert (virtually co-located support)). Strong focus on knowledge asymmetry and metrics such as task duration, error rate, usability ratings, situation awareness, and user satisfaction with remote support experience.—hallmarks of this archetype.",Co-located multi-user with remote expert (virtually co-located support),"First-person video perspective for local users, with options for remote expert to adjust views, hide or highlight 3D objects in real time.","Industrial production planning for robot-human production line setup, with flexibility for application across various manual assembly settings.","High—entails detailed, step-by-step guidance and frequent real-time adjustments within a shared 3D space.","Task duration, error rate, usability ratings, situation awareness, and user satisfaction with remote support experience.","Demonstrated improvements in efficiency and accuracy for collaborative industrial planning, with insights relevant for manual assembly tasks.","Collaborative AR benefits from adaptable interaction modes. In co-located, synchronous tasks, ensure that both HMD and desktop interfaces offer synchronized views with minimal latency to maintain flow in complex assembly tasks."
Aschenbrenner et al. (2019),Knowledge Transfer & Expert Support,"Knowledge Transfer & Expert Support: Remote expert guidance scenario (Single-user and collaborative repair tasks). Strong focus on knowledge asymmetry and metrics such as task duration, error rate, usability ratings, task load, situational awareness—hallmarks of this archetype.",Single-user and collaborative repair tasks,"Visual annotations, audio/text instructions, and live projections",Industrial robot maintenance and repair,"High, involving complex repair steps for servo amplifier replacement","Task duration, error rate, usability ratings, task load, situational awareness",Projection-based SAR significantly improved task performance and reduced errors in collaborative settings,"Shared visual context critical for collaboration, projection-based AR most effective in collaborative tasks"
Betti et al. (2018),Collaborative Creative Workflows,"Collaborative Creative Workflows: Multi‑stakeholder design interaction (Multi-user, co-located collaborative design with non-professionals). Emphasis on ideation/decision speed with metrics like ease of use, user engagement, error rate due to sensor limitations.","Multi-user, co-located collaborative design with non-professionals",Hand gestures and voice commands processed by holographic interface for CAD manipulation and robotic control,Architectural design and on-site fabrication,"Moderate; involved manipulating CAD models, initiating robotic fabrication, and AR-guided manual assembly","Ease of use, user engagement, error rate due to sensor limitations",Holographic AR interface enabled productive human-machine interaction and collaborative design,Interaction limited by time constraints and some sensor tracking issues in bright lighting
Buyruk and Çağdaş (2022),Collaborative Creative Workflows,"Collaborative Creative Workflows: Multi‑stakeholder design interaction (Multi-user collaboration within shared MR environment). Emphasis on ideation/decision speed with metrics like real-time responsiveness, error rate, user adaptability, collaborative effectiveness.",Multi-user collaboration within shared MR environment,Hand gestures and voice commands for real-time design and fabrication updates,Parametric design and robotic fabrication for mass-customization in architecture,High; real-time design and robotic adjustments using digital twin,"Real-time responsiveness, error rate, user adaptability, collaborative effectiveness",High user engagement and operational efficiency; allowed continuous updates during fabrication,"Digital twin enabled precise, responsive control; supports multi-user, real-time design-to-production"
Chan et al. (2022),Precision Task Execution in High-Stakes Environments,"Precision Task Execution in High-Stakes Environments: Safety‑critical coordination (Human-robot collaborative manufacturing within shared workspace). Precision and workload metrics (task load, system usability, task efficiency, robot utilization, user experience) dominate, aligning with this cluster.",Human-robot collaborative manufacturing within shared workspace,"Gesture, speech, and gaze inputs for robot trajectory planning, positioning, and execution",Physically shared high-stakes tasks like CFRP fabrication,"High; includes trajectory adjustments, real-time recalibration, robot path execution","Task load, system usability, task efficiency, robot utilization, user experience",Enhanced engagement and reduced physical demand with AR interface,Mixed dependability scores due to occasional speech and marker alignment issues
Cogurcu et al. (2023),Precision Task Execution in High-Stakes Environments,"Precision Task Execution in High-Stakes Environments: Safety‑critical coordination (Human-robot collaboration with virtual and real robot arms). Precision and workload metrics (trust, safety perception, ease of task execution) dominate, aligning with this cluster.",Human-robot collaboration with virtual and real robot arms,"Safety zones (cuboid, cylindrical with virtual cage bars) via HoloLens",Pick-and-place tasks with safety zone visualisation,Moderate; managing proximity and real-time adjustment to safety zones,"Trust, safety perception, ease of task execution",Increased safety and task ease with cage-bar visualisation for real robots,"Safety zones with cage bars increased depth perception and boundary clarity, especially with real robots"
De Franco et al. (2019),Precision Task Execution in High-Stakes Environments,"Precision Task Execution in High-Stakes Environments: Safety‑critical coordination (Human-robot collaboration in physically shared workspaces). Precision and workload metrics (task performance, situational awareness, task satisfaction, cognitive load) dominate, aligning with this cluster.",Human-robot collaboration in physically shared workspaces,"Gesture, gaze, and voice for task scheduling, monitoring, and control",Industrial assembly (aluminum structure) and polishing tasks,"Moderate; involves task scheduling, feedback-based monitoring, and sequential action coordination","Task performance, situational awareness, task satisfaction, cognitive load",Improved coordination and performance in assembly and polishing with real-time AR feedback,Visual and audio cues reduced cognitive load; AR interaction improved user control and task satisfaction
Fang et al. (2022),Precision Task Execution in High-Stakes Environments,"Precision Task Execution in High-Stakes Environments: Safety‑critical coordination (Multi-operator, distributed localization for AR-aided collaborative assembly). Precision and workload metrics (localization accuracy, task efficiency, situational awareness, synchronization consistency) dominate, aligning with this cluster.","Multi-operator, distributed localization for AR-aided collaborative assembly","Visual guidance overlaid on components, with distributed localization for shared spatial context",Collaborative industrial assembly tasks on large shop floors,"High; involves real-time multi-user tracking, shared guidance, and assembly synchronization","Localization accuracy, task efficiency, situational awareness, synchronization consistency","Improved task alignment, real-time updates, and shared guidance for large, complex assemblies","Distributed localization provides synchronized guidance, reducing tracking drift and latency issues"
Gemito et al. (2023),Precision Task Execution in High-Stakes Environments,"Precision Task Execution in High-Stakes Environments: Safety‑critical coordination (Human-robot collaboration in co-located setting for complex assembly). Precision and workload metrics (task accuracy, safety perception, assembly and training time reduction) dominate, aligning with this cluster.",Human-robot collaboration in co-located setting for complex assembly,"Visual/audio cues, step-by-step guidance, digital assembly instructions",Automotive manufacturing with complex assembly tasks,High; complex multi-step assembly with real-time robot task initiation and safety alerts,"Task accuracy, safety perception, assembly and training time reduction","30% reduction in assembly time, 50% reduction in training time; improved safety",Holographic safety barriers and step verification increased task efficiency and safety
Goepel and Crolla (2020),Collaborative Creative Workflows,"Collaborative Creative Workflows: Multi‑stakeholder design interaction (Multi-user co-located collaboration in creative assembly). Emphasis on ideation/decision speed with metrics like user satisfaction, engagement, alignment accuracy, artistic flexibility.",Multi-user co-located collaboration in creative assembly,"Visual overlays, flow pattern guides for bamboo assembly, structural alignment",Creative fabrication of bamboo art installation,"High; involved sculptural alignment, material adjustment, and dynamic pattern following","User satisfaction, engagement, alignment accuracy, artistic flexibility",High flexibility and engagement; allowed artistic adaptation to material variability,Participants valued balance between guidance and creative freedom; facilitated non-standard assembly
