Paper,Design Approach,User Experience Focus,Evidence of Effectiveness,Collaborative Interaction Design,User Satisfaction Metrics,Adaptability,Grounding Effects,Notes
Aschenbrenner et al. (2018),"Emphasizes shared 3D spatial views, allowing both real-size AR for local users and “Godmode” miniaturized view for remote expert.","Enhancing spatial and situational awareness to reduce errors and optimize workflow, tailored to both user roles (local and remote).",Demonstrated reductions in task time and improvements in collaborative task completion accuracy; situation awareness enhancements documented.,Supports co-located users with real-size AR and provides remote experts miniaturized “Godmode” for improved task perspective and guidance.,"Feedback on ease of use, task satisfaction, situational awareness, and perceived utility of AR views in industrial settings.",Flexible to user needs with customizable views; adaptable to both co-located and remote users depending on task requirements.,"Cues for grounding (synchronized annotations, shared task progress markers) improve understanding and response accuracy, critical in multi-user settings.","For co-located, multi-user AR applications in assembly, grounding cues (such as real-time annotations and progress markers) are essential. These help users track shared goals effectively, which is particularly beneficial in synchronous workflows where user interdependence is high."
Aschenbrenner et al. (2019),"Shared 3D spatial views, emphasis on collaborative task support via projection and annotation",Enhancing user confidence and reducing cognitive load in complex repair tasks,SAR significantly reduced task duration and errors in collaborative settings,"Supports remote and local users with synchronized, real-time visual annotations",Projection-based SAR and tablet annotations rated highest for usability; HMD lowest,"Flexible SAR setup allowed adaptability to changing task requirements, aiding user comprehension",Strong grounding effects with SAR; users quickly oriented in the task due to spatial cues,Collaborative Mixed Reality (CMR) applications demonstrated notable task efficiency improvements
Betti et al. (2018),"Multimodal AR interface with icons for task-specific actions, allowing non-professional design and fabrication input","Accessible interface with minimal training for CAD/robotic operations, enabling hands-free assembly",Positive usability feedback; participants easily used AR tools though some interactions were challenging in high light,"Sequential collaboration model, with individual contributions to a growing structure",High adaptability but limited by short interaction time; AR interface received positive reception for ease of use,"Flexible inputs allowed for varying user interactions, though limited by time and technical constraints","Participants oriented well with AR cues for assembly, despite some interaction learning curve",Effective for structured collaboration; sequential input supported design but did not encourage collective modification
Buyruk and Çağdaş (2022),Digital twin in mixed reality enabling direct parametric and robotic interactions,"Real-time feedback for interactive design-to-production, facilitating user adaptation",Enhanced user satisfaction due to immersive control and adaptability in design updates,"Enabled shared MR environment for collaborative, synchronized design-fabrication updates","Positive for usability, material efficiency, and real-time responsiveness",Highly adaptable to user inputs with flexibility to change design and fabrication parameters instantly,MR-based instant feedback on fabrication improved user engagement and confidence,Effective multi-user design model; allows continuous collaboration and adaptability throughout fabrication
Chan et al. (2022),HMD interface designed to reduce cognitive load and support co-located robot interaction,Reduce physical strain and increase engagement in high-stakes manufacturing tasks,Higher usability and user satisfaction scores for AR interface over joystick,Shared interface promoting direct interaction with robot in shared physical space,"Highly rated for stimulation and novelty, mixed ratings for dependability","Allowed real-time robot adjustments and calibration, adaptable to user needs despite speech issues",Improved task engagement and efficiency through co-located AR interface,Preferred for intuitiveness and convenience despite minor tracking inconsistencies
Cogurcu et al. (2023),Safety zones in MR with transparent cuboid/cylindrical zones with optional cage bars,Increasing user confidence in safety by enhancing depth cues,High satisfaction with cage-bar design; enhanced trust and task ease,Safety visualisation improved task coordination and safety adherence,Preferred cage-bar zones for real robots; mixed for virtual-only scenarios,Safety zone configurations adjustable; user preferences varied with task conditions,Improved spatial awareness with virtual cage bars,Real-robot settings benefited more from cage bars; virtual settings had mixed feedback on design
De Franco et al. (2019),Non-intrusive feedback system to reduce cognitive load and improve situational awareness,"Streamlined task flow, minimal intrusiveness, dynamic task coordination","Improved satisfaction, task clarity, and reduced mental load with AR feedback",User-controlled task scheduling and monitoring with direct feedback loop,"High preference for AR over screen-based feedback, especially in force feedback tasks",Adaptive to noise via gestures; customizable information display for specific tasks,Enhanced task focus and reduced interruption with immersive AR feedback,"Users appreciated control and situational awareness, preferring hands-free AR over screen-based feedback"
Fang et al. (2022),"Adaptive, immersive visual guidance updating in real-time across multiple users","Enhances situational awareness, ensuring task coordination with co-located users",Improved synchronization and task efficiency for large-scale assemblies,Dynamic guidance adjustment based on individual locations within shared space,"Ease of coordination and immersive, adaptive guidance reported by users","Highly adaptable; manages complex, multi-user environments through distributed localization",Shared spatial context across users improves situational awareness and collaborative flow,"Effective for large, complex assemblies; reduces communication barriers in real-time AR guidance"
Gemito et al. (2023),Step-by-step visual instructions and verification for complex assembly tasks,"Clarity, safety, and reduced learning curve with MR guidance",Assembly time reduced by 30%; learning time by 50%; high user engagement,Facilitates task handoffs and monitoring between human and robot,Improved task engagement and safety; high satisfaction with adaptive workspace,"Customizable workspace and stepwise task tracking; suited for complex, high-precision tasks",Step tracking and safety alerts improved task flow and user confidence,Effective in safety-critical environments with MR-enhanced situational awareness
Goepel and Crolla (2020),"Iterative, procedural guidance with dynamic flow pattern overlays",Supported creative freedom while ensuring structural integrity,High user satisfaction; balance of guidance and artistic latitude,Synchronized model allowed individual contributions with collective alignment,"Positive reception for intuitiveness, freedom in design, and task engagement",Allowed deviations due to material properties; flexible for artistic decision-making,"Improved spatial understanding through dynamic, procedural AR instructions","Effective in enhancing craftsman agency, facilitating complex, non-standard design assembly"
Gursch et al. (2018),Context-specific AR guidance with predictive scheduling,"Minimized cognitive load through adaptive, relevant information delivery","Enhanced situational awareness, reduced cognitive load",Humans focus on monitoring/adjusting while robots handle routine tasks,Positive feedback for adaptability and task flow management,High; AR displays prioritize info based on attention patterns and task relevance,Focused information delivery improves operator task engagement,"System facilitated flexible scheduling, optimizing human oversight in logistics"
Huy et al. (2017),"Laser-projected SAR for public awareness, see-through AR for operator interaction",Improved situational awareness with secure and adaptable information channels,"Enhanced task flow, safety perception, and environmental engagement",Separate interfaces prevent information overload; maintain focus and safety,"Positive feedback for adaptability, visibility, and secure interaction",Laser cues adjustable to lighting; AR allows hands-free focus on tasks,Dual-channel approach improves operator situational awareness and security,"System supports complex, secure human-robot tasks; laser and AR integration increase safety"
Liu et al. (2018),Interactive 3D renderings and animations for boat configuration,Increased customer satisfaction and confidence with real-time customization preview,Positive dealer feedback; valued for reducing inventory and engaging customers,Shared AR space with synchronized views and avatars for intuitive interaction,Positive reception for accessibility and ease of customization with click-based controls,Marker system provided flexibility for various settings; adaptive to different configurations,Enhanced situational awareness with avatars and laser pointers for real-time collaboration,"Facilitated intuitive, collaborative experiences; reduced physical inventory needs in sales"
Liu et al. (2022),"Human-centric, adaptive task guidance with ergonomic consideration and feedback",Reduces operator cognitive load and improves accessibility for complex assemblies,"Enhanced task satisfaction, lower cognitive load, and error reduction",Synchronized task management through DTs and AR enhances multi-operator workflow,Positive feedback on cognitive load reduction and task efficiency,Real-time adaptation to operator’s physiological state; flexible to aerospace constraints,Enhanced task clarity through real-time updates and adaptive feedback,System improves operator engagement and reduces physical/mental strain during large assemblies
