session_id,variant,total_duration,total_words,total_turns,turn_transitions,words_per_minute,turns_per_minute,participant_metrics,communication_balance,deictic_references,spatial_references,deictic_density,spatial_density,planning_utterances,execution_utterances,planning_ratio,execution_ratio
0,Open Ended,582.606,1054,112,51,108.5467708880444,11.534381726243808,"{'SAKl2Kyg': {'word_count': 636, 'turn_count': 62, 'speaking_time': 228.63600000000005, 'average_turn_length': np.float64(10.258064516129032)}, 'jFYQhuSp': {'word_count': 418, 'turn_count': 50, 'speaking_time': 157.14999999999992, 'average_turn_length': np.float64(8.36)}}",0.20683111954459202,71,15,0.06736242884250475,0.014231499051233396,49,77,0.3888888888888889,0.6111111111111112
1,Timed,274.772,325,43,17,70.96792977450396,9.389603016318985,"{'SAKl2Kyg': {'word_count': 67, 'turn_count': 10, 'speaking_time': 24.32000000000001, 'average_turn_length': np.float64(6.7)}, 'jFYQhuSp': {'word_count': 258, 'turn_count': 33, 'speaking_time': 93.44900000000001, 'average_turn_length': np.float64(7.818181818181818)}}",0.5876923076923077,18,6,0.055384615384615386,0.018461538461538463,19,26,0.4222222222222222,0.5777777777777777
3,Roleplay,1767.137,3050,313,106,103.55733596206746,10.627359395451512,"{'SAKl2Kyg': {'word_count': 1017, 'turn_count': 126, 'speaking_time': 365.3999999999998, 'average_turn_length': np.float64(8.071428571428571)}, 'jFYQhuSp': {'word_count': 2033, 'turn_count': 187, 'speaking_time': 701.9809999999984, 'average_turn_length': np.float64(10.871657754010695)}}",0.33311475409836067,212,53,0.06950819672131148,0.01737704918032787,80,235,0.25396825396825395,0.746031746031746
4,Timed,615.655,889,87,0,86.63943279921385,8.478774638393256,"{'6m7xtdFy': {'word_count': 889, 'turn_count': 87, 'speaking_time': 367.99700000000024, 'average_turn_length': np.float64(10.218390804597702)}, 'kHxWHBLy': {'word_count': 0, 'turn_count': 0, 'speaking_time': 0, 'average_turn_length': 0}}",1.0,57,16,0.06411698537682789,0.01799775028121485,26,63,0.29213483146067415,0.7078651685393258
5,Roleplay,789.175,1031,107,18,78.38565590648463,8.135077771090062,"{'6m7xtdFy': {'word_count': 898, 'turn_count': 88, 'speaking_time': 298.8439999999998, 'average_turn_length': np.float64(10.204545454545455)}, 'kHxWHBLy': {'word_count': 133, 'turn_count': 19, 'speaking_time': 37.540999999999954, 'average_turn_length': np.float64(7.0)}}",0.7419980601357905,59,24,0.05722599418040737,0.023278370514064017,33,65,0.336734693877551,0.6632653061224489
6,Open Ended,495.594,653,75,36,79.05664717490527,9.080013075218828,"{'6m7xtdFy': {'word_count': 373, 'turn_count': 43, 'speaking_time': 120.92700000000006, 'average_turn_length': np.float64(8.674418604651162)}, 'kHxWHBLy': {'word_count': 280, 'turn_count': 32, 'speaking_time': 83.31799999999988, 'average_turn_length': np.float64(8.75)}}",0.14241960183767227,44,15,0.06738131699846861,0.022970903522205207,20,29,0.40816326530612246,0.5918367346938775
9,Open Ended,171.963,283,54,16,98.74217128103139,18.841262364578427,"{'YeUp7E4D': {'word_count': 106, 'turn_count': 23, 'speaking_time': 31.077999999999996, 'average_turn_length': np.float64(4.608695652173913)}, 'WzyEiaaj': {'word_count': 177, 'turn_count': 31, 'speaking_time': 52.018000000000036, 'average_turn_length': np.float64(5.709677419354839)}}",0.2508833922261484,16,7,0.05653710247349823,0.024734982332155476,13,30,0.3023255813953488,0.6976744186046512
10,Roleplay,230.372,519,63,30,135.17267723508064,16.408244057437535,"{'YeUp7E4D': {'word_count': 260, 'turn_count': 28, 'speaking_time': 92.195, 'average_turn_length': np.float64(9.285714285714286)}, 'WzyEiaaj': {'word_count': 259, 'turn_count': 35, 'speaking_time': 73.50200000000001, 'average_turn_length': np.float64(7.4)}}",0.0019267822736030828,40,8,0.07707129094412331,0.015414258188824663,17,40,0.2982456140350877,0.7017543859649122
11,Timed,136.764,241,34,3,105.72957795911204,14.916206019127838,"{'YeUp7E4D': {'word_count': 48, 'turn_count': 7, 'speaking_time': 15.465999999999998, 'average_turn_length': np.float64(6.857142857142857)}, 'WzyEiaaj': {'word_count': 193, 'turn_count': 27, 'speaking_time': 57.51600000000002, 'average_turn_length': np.float64(7.148148148148148)}}",0.6016597510373444,15,6,0.06224066390041494,0.024896265560165973,9,18,0.3333333333333333,0.6666666666666666
12,Roleplay,872.857,864,146,12,59.391171749782615,10.036008189199377,"{'OYYOwkG2': {'word_count': 80, 'turn_count': 20, 'speaking_time': 21.798000000000286, 'average_turn_length': np.float64(4.0)}, 'dckk6p6S': {'word_count': 784, 'turn_count': 126, 'speaking_time': 286.91599999999977, 'average_turn_length': np.float64(6.222222222222222)}}",0.8148148148148148,53,11,0.061342592592592594,0.01273148148148148,20,55,0.26666666666666666,0.7333333333333333
