t_s,rtt_ms,bytesIn,bytesOut
0.000,0,0,0
0.275,0,0,0
0.512,0,0,0
0.727,0,0,0
0.936,0,0,0
1.140,0,840,272
1.344,0,0,0
1.545,0,0,0
1.746,0,0,0
1.947,33,0,0
2.152,33,20,158
2.353,33,0,0
2.556,33,0,0
2.760,33,0,0
2.964,29,0,0
3.164,29,20,158
3.367,29,0,0
3.567,29,0,0
3.768,29,0,0
3.974,25,0,0
4.177,25,20,158
4.382,25,0,0
4.587,25,0,0
4.788,25,0,0
4.989,25,0,0
5.191,25,20,158
5.394,25,0,0
5.598,25,0,0
5.801,25,0,0
6.003,25,0,0
6.206,27,20,158
6.410,27,0,0
6.612,27,0,0
6.813,27,0,0
7.016,27,0,0
7.216,23,20,158
7.420,23,0,0
7.621,23,0,0
7.824,23,0,0
8.029,23,0,0
8.229,23,20,158
8.431,23,0,0
8.636,23,0,0
8.841,23,0,0
9.042,23,0,0
9.247,23,20,158
9.451,23,0,0
9.653,23,0,0
9.859,23,0,0
10.060,20,0,0
10.262,20,20,158
10.463,20,0,0
10.664,20,0,0
10.867,20,0,0
11.072,20,10,158
11.272,17,0,0
11.475,17,0,0
11.676,17,0,0
11.879,17,0,0
12.083,17,20,148
12.288,18,0,0
12.492,18,0,0
12.693,18,0,0
12.893,18,0,0
13.098,18,20,158
13.299,17,0,0
13.503,17,0,0
13.708,17,0,0
13.909,17,0,0
14.109,17,20,158
14.311,20,0,0
14.512,20,0,0
14.715,20,0,0
14.919,20,0,0
15.124,20,20,158
15.325,25,0,0
15.528,25,0,0
15.730,25,0,0
15.930,25,0,0
16.131,25,20,158
16.335,28,0,0
16.540,28,0,0
16.741,28,0,0
16.941,28,0,0
17.144,28,20,158
17.346,32,0,0
17.547,32,0,0
17.748,32,0,0
17.948,32,0,0
18.151,32,20,158
18.352,32,0,0
18.555,32,0,0
18.759,32,0,0
18.961,32,0,0
19.164,32,20,158
19.364,28,0,0
19.569,28,0,0
19.773,28,0,0
19.977,28,0,0
20.182,28,20,158
20.383,27,0,0
20.583,27,0,0
20.784,27,0,0
20.990,27,0,0
21.192,27,20,158
21.395,22,0,0
21.598,22,0,0
21.800,22,0,0
22.001,22,0,0
22.202,22,20,158
22.403,15,0,0
22.607,15,0,0
22.809,15,0,0
23.011,15,0,0
23.215,15,20,158
23.416,18,0,0
23.619,18,0,0
23.821,18,0,0
24.024,18,0,0
24.229,18,20,158
24.435,20,0,0
24.635,20,0,0
24.836,20,0,0
25.039,20,0,0
25.241,20,20,158
25.444,20,0,0
25.644,20,0,0
25.846,20,0,0
26.047,20,0,0
26.249,20,20,158
26.450,22,0,0
26.654,22,0,0
26.855,22,0,0
27.058,22,0,0
27.260,22,20,158
27.461,28,0,0
27.666,28,0,0
27.868,28,0,0
28.073,28,0,0
28.276,28,20,158
28.477,25,0,0
28.681,25,0,0
28.882,25,0,0
29.084,25,0,0
29.285,25,20,158
29.487,23,0,0
29.689,23,0,0
29.891,23,0,0
30.095,23,0,0
30.298,23,20,158
30.499,22,0,0
30.703,22,0,0
30.907,22,0,0
31.112,22,0,0
31.315,22,20,158
31.519,23,0,0
31.721,23,0,0
31.924,23,0,0
32.124,23,0,0
32.326,23,20,158
32.527,22,0,0
32.732,22,0,0
32.936,22,0,0
33.136,22,0,0
33.340,22,20,158
33.541,23,0,0
33.745,23,0,0
33.947,23,0,0
34.150,23,0,0
34.355,23,20,158
34.556,23,0,0
34.760,23,0,0
34.961,23,0,0
35.162,23,0,0
35.363,23,20,158
35.569,23,0,0
35.771,23,0,0
35.975,23,0,0
36.179,23,0,0
36.383,23,20,158
36.585,25,0,0
36.787,25,0,0
36.992,25,0,0
37.196,25,20,158
37.396,25,0,0
37.602,23,0,0
37.806,23,0,0
38.009,23,0,0
38.212,23,20,158
38.416,23,0,0
38.645,20,0,0
38.849,20,0,0
39.050,20,0,0
39.255,20,20,158
39.455,20,0,0
39.659,20,0,0
39.862,20,0,0
40.068,20,0,0
40.271,20,20,158
40.471,20,0,0
40.674,20,0,0
40.878,18,0,0
41.078,18,0,0
41.278,18,20,158
41.484,18,0,0
41.687,18,0,0
41.887,15,0,0
42.092,15,0,0
42.295,15,20,158
42.500,15,0,0
42.702,15,0,0
42.904,18,0,0
43.105,18,0,0
43.309,18,20,158
43.510,18,0,0
43.711,18,0,0
43.913,22,0,0
44.113,22,0,0
44.316,22,20,158
44.519,22,0,0
44.722,22,0,0
44.927,27,0,0
45.131,27,0,0
45.334,27,20,158
45.538,27,0,0
45.740,27,0,0
45.944,30,0,0
46.145,30,0,0
46.347,30,20,158
46.548,30,0,0
46.750,30,0,0
46.952,30,0,0
47.155,30,0,0
47.358,30,20,158
47.561,30,0,0
47.761,30,0,0
47.964,30,0,0
48.164,30,0,0
48.366,30,20,158
48.566,30,0,0
48.770,30,0,0
48.974,28,0,0
49.177,28,0,0
49.380,28,20,158
49.583,28,0,0
49.784,28,0,0
49.988,23,0,0
50.188,23,0,0
50.392,23,20,158
50.594,23,0,0
50.795,23,0,0
50.995,23,0,0
51.198,23,0,0
51.402,23,20,158
51.606,23,0,0
51.810,23,0,0
52.013,23,0,0
52.216,23,0,0
52.420,23,20,158
52.621,23,0,0
52.822,23,0,0
53.024,18,0,0
53.225,18,0,0
53.428,18,20,158
53.632,18,0,0
53.833,18,0,0
54.037,20,0,0
54.239,20,0,0
54.442,20,20,158
54.644,20,0,0
54.846,20,0,0
55.047,25,0,0
55.251,25,0,0
55.451,25,20,306
55.654,25,0,0
55.859,25,0,0
56.061,23,0,0
56.262,23,0,0
56.465,23,20,10
56.670,23,0,0
56.874,23,0,0
57.074,28,0,0
57.276,28,0,0
57.477,28,20,158
57.680,28,0,0
57.883,28,0,0
58.087,32,0,0
58.288,32,20,158
58.493,32,0,0
58.694,32,0,0
58.895,32,0,0
59.096,30,0,0
59.299,30,20,158
59.502,30,0,0
59.703,30,0,0
59.903,30,0,0
60.107,27,0,0
60.313,27,20,158
60.516,27,0,0
60.718,27,0,0
60.924,27,0,0
61.126,28,0,0
61.332,28,20,158
61.533,28,0,0
61.733,28,0,0
61.936,28,0,0
62.137,23,0,0
62.342,23,20,306
62.546,23,0,0
62.749,23,0,0
62.950,23,0,0
63.156,20,0,0
63.361,20,20,158
63.563,20,0,0
63.764,20,0,0
63.967,20,0,0
64.172,23,0,0
64.377,23,20,158
64.582,23,0,0
64.783,23,0,0
64.984,23,0,0
65.188,23,0,0
65.392,23,20,158
65.596,23,0,0
65.799,23,0,0
65.999,23,0,0
66.202,23,0,0
66.404,23,20,158
66.608,23,0,0
66.813,23,0,0
67.016,23,0,0
67.218,25,0,0
67.423,25,20,158
67.626,25,0,0
67.829,25,0,0
68.033,25,0,0
68.236,28,0,0
68.441,28,20,158
68.647,28,0,0
68.848,28,0,0
69.052,28,0,0
69.256,28,0,0
69.461,28,20,158
69.662,28,0,0
69.867,28,0,0
70.072,28,0,0
70.278,27,0,0
70.479,27,20,158
70.682,27,0,0
70.882,27,0,0
71.085,27,0,0
71.292,27,0,0
71.495,27,20,158
71.699,27,0,0
71.900,27,0,0
72.102,27,0,0
72.309,25,0,0
72.513,25,20,158
72.714,25,0,0
72.916,25,0,0
73.119,25,0,0
73.324,23,0,0
73.524,23,20,158
73.728,23,0,0
73.932,23,0,0
74.137,23,0,0
74.341,22,0,0
74.542,22,20,158
74.747,22,0,0
74.948,22,0,0
75.150,22,0,0
75.353,22,0,0
75.554,22,20,158
75.755,22,0,0
75.959,22,0,0
76.160,22,0,0
76.363,23,0,0
76.564,23,20,158
76.767,23,0,0
76.969,23,0,0
77.172,23,0,0
77.376,23,20,158
77.580,23,0,0
77.785,23,0,0
77.990,23,0,0
78.195,23,0,0
78.397,22,20,158
78.597,22,0,0
78.800,22,0,0
79.000,22,0,0
79.203,22,0,0
79.404,23,20,158
79.609,23,0,0
79.815,23,0,0
80.019,23,0,0
80.220,23,0,0
80.425,28,20,158
80.627,28,0,0
80.828,28,0,0
81.030,28,0,0
81.234,28,0,0
81.436,30,20,158
81.639,30,0,0
81.841,30,0,0
82.042,30,0,0
82.243,30,0,0
82.448,30,20,158
82.650,30,0,0
82.851,30,0,0
83.054,30,0,0
83.256,30,0,0
83.459,35,20,158
83.661,35,0,0
83.862,35,0,0
84.063,35,0,0
84.268,35,0,0
84.472,35,20,158
